"Matricula";"Ano";"Turma";"Horario";"Professor";"Codigo_curso";"Curso";"Prova";"Questao";"Acertou";"Nome.questao";"arquivos";"Numero.prova"
140031065;2014;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800548;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_41.pdf";1
140137734;2014;"BB";"10/dez";"THAIS CARVALHO";"06254";"Engenharia Ambiental";19091800215;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_32.pdf";1
140164634;2014;"CC";"14-16";"EDUARDO YOSHIO";"01341";"Engenharia de Computação";19091800413;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_45.pdf";1
140173633;2014;"EA";"18-21";"JHAMES MATOS";"04529";"Outros";19091800544;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_37.pdf";1
150005903;2015;"DA";"16-18";"LUCAS MOREIRA";"06289";"Outros";19091800440;5;TRUE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_12.pdf";1
150007353;2015;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800547;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_40.pdf";1
150115318;2015;"BA";"10/dez";"JOSE AUGUSTO";"08150";"Administração";19091800153;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_28.pdf";1
150117167;2015;"AB";"08/out";"ROBERTO VILA";"08362";"Outros";19091800117;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_55.pdf";1
150121474;2015;"CC";"14-16";"EDUARDO YOSHIO";"01589";"Outros";19091800395;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_27.pdf";1
150131721;2015;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800556;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_49.pdf";1
150132701;2015;"CB";"14-16";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800311;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_03.pdf";1
150142773;2015;"AA";"08/out";"CIRA ETHEOWALDA";"01589";"Outros";19091800025;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_25.pdf";1
